"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"43259",10,1,"binding1","5","herself",438,"Miss Carroll said that the girl cut herself with a knife while cooking.",438,"10/5",438,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"51826",13,1,"binding1","5","herself",575,"Miss Carroll said that the girl cut herself with a knife while cooking.",575,"13/5",575,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"54569",14,1,"binding1","5","herself",688,"Miss Carroll said that the girl cut herself with a knife while cooking.",688,"14/5",688,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"57662",15,1,"binding1","5","herself",475,"Miss Carroll said that the girl cut herself with a knife while cooking.",475,"15/5",475,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"64583",18,1,"binding1","5","herself",505,"Miss Carroll said that the girl cut herself with a knife while cooking.",505,"18/5",505,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"75430",21,1,"binding1","5","herself",693,"Miss Carroll said that the girl cut herself with a knife while cooking.",693,"21/5",693,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"84661",23,1,"binding1","5","herself",534,"Miss Carroll said that the girl cut herself with a knife while cooking.",534,"23/5",534,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"129839",39,1,"binding1","5","herself",1107,"Miss Carroll said that the girl cut herself with a knife while cooking.",1107,"39/5",1107,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"138684",42,1,"binding1","5","herself",385,"Miss Carroll said that the girl cut herself with a knife while cooking.",385,"42/5",385,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"142708",43,1,"binding1","5","herself",940,"Miss Carroll said that the girl cut herself with a knife while cooking.",940,"43/5",940,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"14253",1,1,"binding2","5","herself",1045,"Mr. Smith said that the girl cut herself with a knife while cooking.",1045,"1/5",1045,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"27044",4,1,"binding2","5","herself",622,"Mr. Smith said that the girl cut herself with a knife while cooking.",622,"4/5",622,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"32404",6,1,"binding2","5","herself",409,"Mr. Smith said that the girl cut herself with a knife while cooking.",409,"6/5",409,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
