"","subject","item","list","phrase","word","rt","sentence","accessible_G","inaccessible_G","accessible","inaccessible"
"43242",10,1,"binding1","1","Miss Carroll",528,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43256",10,1,"binding1","2","said that",697,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43257",10,1,"binding1","3","the girl",418,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43258",10,1,"binding1","4","cut",334,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43259",10,1,"binding1","5","herself",438,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43260",10,1,"binding1","6","with a knife",2674,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"43261",10,1,"binding1","7","while cooking.",1246,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51809",13,1,"binding1","1","Miss Carroll",526,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51823",13,1,"binding1","2","said that",590,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51824",13,1,"binding1","3","the girl",586,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51825",13,1,"binding1","4","cut",437,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51826",13,1,"binding1","5","herself",575,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51827",13,1,"binding1","6","with a knife",753,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"51828",13,1,"binding1","7","while cooking.",784,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54565",14,1,"binding1","1","Miss Carroll",897,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54566",14,1,"binding1","2","said that",573,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54567",14,1,"binding1","3","the girl",707,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54568",14,1,"binding1","4","cut",466,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54569",14,1,"binding1","5","herself",688,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54570",14,1,"binding1","6","with a knife",1696,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"54571",14,1,"binding1","7","while cooking.",957,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57645",15,1,"binding1","1","Miss Carroll",411,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57659",15,1,"binding1","2","said that",667,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57660",15,1,"binding1","3","the girl",817,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57661",15,1,"binding1","4","cut",623,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57662",15,1,"binding1","5","herself",475,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57663",15,1,"binding1","6","with a knife",639,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"57664",15,1,"binding1","7","while cooking.",724,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"64579",18,1,"binding1","1","Miss Carroll",1025,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"64580",18,1,"binding1","2","said that",524,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"64581",18,1,"binding1","3","the girl",486,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"64582",18,1,"binding1","4","cut",490,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
"64583",18,1,"binding1","5","herself",505,"Miss Carroll said that the girl cut herself with a knife while cooking.","Accessible_Match","Inaccessible_Match","-0.5","-0.5"
