"subject","item","rt","accessible","inaccessible","group","region","trial","accessible_g","inaccessible_g","group_g","region_g"
"Native 1",1,"297",-1,-1,-1,-1,"Native 1 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 1",1,"313",-1,-1,-1,1,"Native 1 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 2",1,"358",-1,-1,-1,-1,"Native 2 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 2",1,"458",-1,-1,-1,1,"Native 2 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 3",1,"360",-1,-1,-1,-1,"Native 3 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 3",1,"400",-1,-1,-1,1,"Native 3 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 4",1,"383",-1,-1,-1,-1,"Native 4 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 4",1,"366",-1,-1,-1,1,"Native 4 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 5",1,"356",-1,-1,-1,-1,"Native 5 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 5",1,"405",-1,-1,-1,1,"Native 5 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 6",1,"464",-1,-1,-1,-1,"Native 6 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 6",1,"359",-1,-1,-1,1,"Native 6 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 7",1,"416",-1,-1,-1,-1,"Native 7 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 7",1,"640",-1,-1,-1,1,"Native 7 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 8",1,"480",-1,-1,-1,-1,"Native 8 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 8",1,"568",-1,-1,-1,1,"Native 8 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 9",1,"594",-1,-1,-1,-1,"Native 9 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 9",1,"595",-1,-1,-1,1,"Native 9 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 10",1,"272",-1,-1,-1,-1,"Native 10 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 10",1,"432",-1,-1,-1,1,"Native 10 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 11",1,"316",-1,-1,-1,-1,"Native 11 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 11",1,"523",-1,-1,-1,1,"Native 11 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 12",1,"374",-1,-1,-1,-1,"Native 12 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 12",1,"400",-1,-1,-1,1,"Native 12 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 13",1,"439",-1,-1,-1,-1,"Native 13 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 13",1,"585",-1,-1,-1,1,"Native 13 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 14",1,"392",-1,-1,-1,-1,"Native 14 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 14",1,"540",-1,-1,-1,1,"Native 14 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 15",1,"323",-1,-1,-1,-1,"Native 15 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 15",1,"316",-1,-1,-1,1,"Native 15 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 16",1,"376",-1,-1,-1,-1,"Native 16 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 16",1,"392",-1,-1,-1,1,"Native 16 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 17",1,"369",-1,-1,-1,-1,"Native 17 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 17",1,"360",-1,-1,-1,1,"Native 17 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 18",1,"448",-1,-1,-1,-1,"Native 18 1","Accessible Match","Inaccessible Match","Native","Critical Region"
"Native 18",1,"575",-1,-1,-1,1,"Native 18 1","Accessible Match","Inaccessible Match","Native","Spillover Region"
"Native 19",1,"390",-1,1,-1,-1,"Native 19 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 19",1,"392",-1,1,-1,1,"Native 19 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 20",1,"517",-1,1,-1,-1,"Native 20 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 20",1,"769",-1,1,-1,1,"Native 20 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 21",1,"220",-1,1,-1,-1,"Native 21 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 21",1,"263",-1,1,-1,1,"Native 21 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 22",1,"400",-1,1,-1,-1,"Native 22 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 22",1,"560",-1,1,-1,1,"Native 22 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 23",1,"504",-1,1,-1,-1,"Native 23 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 23",1,"544",-1,1,-1,1,"Native 23 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 24",1,"237",-1,1,-1,-1,"Native 24 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 24",1,"752",-1,1,-1,1,"Native 24 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 25",1,"605",-1,1,-1,-1,"Native 25 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 25",1,"500",-1,1,-1,1,"Native 25 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 26",1,"397",-1,1,-1,-1,"Native 26 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 26",1,"344",-1,1,-1,1,"Native 26 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 27",1,"667",-1,1,-1,-1,"Native 27 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 27",1,"678",-1,1,-1,1,"Native 27 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 28",1,"608",-1,1,-1,-1,"Native 28 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 28",1,"624",-1,1,-1,1,"Native 28 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 29",1,"456",-1,1,-1,-1,"Native 29 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 29",1,"652",-1,1,-1,1,"Native 29 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 30",1,"304",-1,1,-1,-1,"Native 30 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 30",1,"288",-1,1,-1,1,"Native 30 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
"Native 31",1,"266",-1,1,-1,-1,"Native 31 1","Accessible Match","Inaccessible Mismatch","Native","Critical Region"
"Native 31",1,"476",-1,1,-1,1,"Native 31 1","Accessible Match","Inaccessible Mismatch","Native","Spillover Region"
