"","subject","item","list","phrase","word","raw_rt","sentence","removed_rt","subject2","rt","accessible_G","inaccessible_G","accessible","inaccessible"
"43260",10,1,"binding1","6","with a knife",2674,"Miss Carroll said that the girl cut herself with a knife while cooking.",2674,"10/6",NA,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"51827",13,1,"binding1","6","with a knife",753,"Miss Carroll said that the girl cut herself with a knife while cooking.",753,"13/6",753,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"54570",14,1,"binding1","6","with a knife",1696,"Miss Carroll said that the girl cut herself with a knife while cooking.",1696,"14/6",1696,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"57663",15,1,"binding1","6","with a knife",639,"Miss Carroll said that the girl cut herself with a knife while cooking.",639,"15/6",639,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"64584",18,1,"binding1","6","with a knife",1098,"Miss Carroll said that the girl cut herself with a knife while cooking.",1098,"18/6",1098,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"75431",21,1,"binding1","6","with a knife",623,"Miss Carroll said that the girl cut herself with a knife while cooking.",623,"21/6",623,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"84662",23,1,"binding1","6","with a knife",723,"Miss Carroll said that the girl cut herself with a knife while cooking.",723,"23/6",723,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"129840",39,1,"binding1","6","with a knife",1484,"Miss Carroll said that the girl cut herself with a knife while cooking.",1484,"39/6",1484,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"138685",42,1,"binding1","6","with a knife",922,"Miss Carroll said that the girl cut herself with a knife while cooking.",922,"42/6",922,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"142709",43,1,"binding1","6","with a knife",777,"Miss Carroll said that the girl cut herself with a knife while cooking.",777,"43/6",777,"Accessible_Match","Inaccessible_Match",-0.5,-0.5
"14254",1,1,"binding2","6","with a knife",1086,"Mr. Smith said that the girl cut herself with a knife while cooking.",1086,"1/6",1086,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"27045",4,1,"binding2","6","with a knife",1398,"Mr. Smith said that the girl cut herself with a knife while cooking.",1398,"4/6",NA,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"32405",6,1,"binding2","6","with a knife",327,"Mr. Smith said that the girl cut herself with a knife while cooking.",327,"6/6",327,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"40068",9,1,"binding2","6","with a knife",918,"Mr. Smith said that the girl cut herself with a knife while cooking.",918,"9/6",918,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"48244",12,1,"binding2","6","with a knife",897,"Mr. Smith said that the girl cut herself with a knife while cooking.",897,"12/6",897,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"60490",16,1,"binding2","6","with a knife",493,"Mr. Smith said that the girl cut herself with a knife while cooking.",493,"16/6",493,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"67033",19,1,"binding2","6","with a knife",690,"Mr. Smith said that the girl cut herself with a knife while cooking.",690,"19/6",690,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"79636",22,1,"binding2","6","with a knife",811,"Mr. Smith said that the girl cut herself with a knife while cooking.",811,"22/6",811,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"85613",24,1,"binding2","6","with a knife",987,"Mr. Smith said that the girl cut herself with a knife while cooking.",987,"24/6",987,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"92480",25,1,"binding2","6","with a knife",838,"Mr. Smith said that the girl cut herself with a knife while cooking.",838,"25/6",838,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"99974",28,1,"binding2","6","with a knife",805,"Mr. Smith said that the girl cut herself with a knife while cooking.",805,"28/6",805,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"104102",30,1,"binding2","6","with a knife",1185,"Mr. Smith said that the girl cut herself with a knife while cooking.",1185,"30/6",1185,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"120106",35,1,"binding2","6","with a knife",1089,"Mr. Smith said that the girl cut herself with a knife while cooking.",1089,"35/6",1089,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"122590",36,1,"binding2","6","with a knife",682,"Mr. Smith said that the girl cut herself with a knife while cooking.",682,"36/6",682,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"143142",44,1,"binding2","6","with a knife",2239,"Mr. Smith said that the girl cut herself with a knife while cooking.",2239,"44/6",NA,"Accessible_Match","Inaccessible_Mismatch",-0.5,0.5
"21790",2,1,"binding3","6","with a knife",696,"Mr. Smith said that the girl cut himself with a knife while cooking.",696,"2/6",696,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"62519",17,1,"binding3","6","with a knife",806,"Mr. Smith said that the girl cut himself with a knife while cooking.",806,"17/6",806,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"97511",27,1,"binding3","6","with a knife",36,"Mr. Smith said that the girl cut himself with a knife while cooking.",NA,"27/6",NA,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"106775",31,1,"binding3","6","with a knife",1713,"Mr. Smith said that the girl cut himself with a knife while cooking.",1713,"31/6",1713,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"114914",33,1,"binding3","6","with a knife",1441,"Mr. Smith said that the girl cut himself with a knife while cooking.",1441,"33/6",1441,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"117860",34,1,"binding3","6","with a knife",649,"Mr. Smith said that the girl cut himself with a knife while cooking.",649,"34/6",649,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"159587",48,1,"binding3","6","with a knife",1273,"Mr. Smith said that the girl cut himself with a knife while cooking.",1273,"48/6",1273,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"163520",49,1,"binding3","6","with a knife",993,"Mr. Smith said that the girl cut himself with a knife while cooking.",993,"49/6",993,"Accessible_Mismatch","Inaccessible_Match",0.5,-0.5
"24001",3,1,"binding4","6","with a knife",1396,"Miss Carroll said that the girl cut himself with a knife while cooking.",1396,"3/6",NA,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"31279",5,1,"binding4","6","with a knife",282,"Miss Carroll said that the girl cut himself with a knife while cooking.",282,"5/6",282,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"36135",7,1,"binding4","6","with a knife",767,"Miss Carroll said that the girl cut himself with a knife while cooking.",767,"7/6",767,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"37905",8,1,"binding4","6","with a knife",336,"Miss Carroll said that the girl cut himself with a knife while cooking.",336,"8/6",336,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
"46431",11,1,"binding4","6","with a knife",862,"Miss Carroll said that the girl cut himself with a knife while cooking.",862,"11/6",862,"Accessible_Mismatch","Inaccessible_Mismatch",0.5,0.5
